country,country_code,year,population,GDP,GDP_per_capita
Vanuatu,VUT,2010,245453,670712979.682038,2732.5515666218703
Zambia,ZMB,2010,13792086,20265559483.8548,1469.3614500268343
Zimbabwe,ZWE,2010,12839771,12041602761.7901,937.8362559417999
Afghanistan,AFG,2015,33753499,19134221644.7325,566.8811297084341
Albania,ALB,2015,2882481,11470171826.9575,3979.2705752292904
Algeria,DZA,2015,39543154,187493855609.345,4741.499770335593
American Samoa,ASM,2015,51368,673000000.0,13101.541815916524
Andorra,AND,2015,71746,2789881258.50362,38885.530322298386
Angola,AGO,2015,28127721,90496420506.5957,3217.3392400541693
Antigua and Barbuda,ATG,2015,89941,1437485185.18519,15982.535052814512
Argentina,ARG,2015,43257065,594749285413.212,13749.182599725895
Armenia,ARM,2015,2878595,10553337518.414,3666.1418221090494
Aruba,ABW,2015,104257,2962907262.56983,28419.264534466078
Australia,AUS,2015,23820236,1351296372254.31,56728.92461075155
Austria,AUT,2015,8642421,379546097300.633,43916.64063815371
Azerbaijan,AZE,2015,9863480,53076235354.746,5381.086123228922
Bahrain,BHR,2015,1362142,32523297872.3404,23876.583992227243
Bangladesh,BGD,2015,157830000,195146608978.131,1236.4354620676108
Barbados,BRB,2015,278083,5288057750.0,19016.11299504105
Belarus,BLR,2015,9700609,56454769844.7632,5819.71398339663
Belgium,BEL,2015,11248303,461044767544.531,40987.93991809529
Belize,BLZ,2015,359871,2193050000.0,6093.989235031442
Benin,BEN,2015,10932783,11388160996.7738,1041.6525231291794
Bermuda,BMU,2015,63144,6654541000.0,105386.75091853541
Bhutan,BTN,2015,743274,2187815803.36833,2943.48491050182
Bolivia,BOL,2015,11090085,33000198248.9146,2975.648811430625
Bosnia and Herzegovina,BIH,2015,3524324,16404348871.4437,4654.60862038896
Botswana,BWA,2015,2305171,13530748844.505,5869.7375789062935
Brazil,BRA,2015,205188205,1802212206814.5,8783.215423198912
British Virgin Islands,VGB,2015,29366,,
Bulgaria,BGR,2015,7309253,50765918159.1476,6945.431791613671
Burkina Faso,BFA,2015,18718019,11832159315.6298,632.1266858223512
Burundi,BDI,2015,10727148,3104003546.26497,289.3596272061288
Cambodia,KHM,2015,15417523,24174170369.0738,1567.9671999888567
Cameroon,CMR,2015,23012646,32210233020.4569,1399.6753359199504
Canada,CAN,2015,35732126,1556508816217.14,43560.48717104434
Cayman Islands,CYM,2015,60911,4708167232.66893,77295.84529344339
Central African Republic,CAF,2015,4819333,1695825714.19282,351.8797547695542
Chad,TCD,2015,14140274,14559599499.5011,1029.6546940675337
Chile,CHL,2015,17870124,242450355830.884,13567.35721760431
China,CHN,2015,1393715448,11280814787468.9,8094.0588006375465
Colombia,COL,2015,47119728,293492370193.166,6228.651621103713
Comoros,COM,2015,730216,966029599.801228,1322.936774599883
Costa Rica,CRI,2015,4895242,56441920820.5538,11529.955172911534
Croatia,HRV,2015,4254815,51005200669.6941,11987.642393310662
Cuba,CUB,2015,11339894,87132800000.0,7683.740253656692
Curacao,,2015,169572,3058779217.87709,18038.232832525948
Cyprus,CYP,2015,1187280,19909278416.8575,16768.81478409263
Denmark,DNK,2015,5677796,301758922337.637,53147.19344225066
Djibouti,DJI,2015,1006259,2424391785.43897,2409.3119022428323
Dominica,DMA,2015,70007,583177777.777778,8330.278083302785
Dominican Republic,DOM,2015,10405832,70966782572.4386,6819.904700790729
Ecuador,ECU,2015,16195902,97209558000.0,6002.108311102401
El Salvador,SLV,2015,6231066,23438240000.0,3761.5136800027476
Equatorial Guinea,GNQ,2015,1346973,13185496881.0174,9788.98380369718
Eritrea,ERI,2015,3340006,,
Estonia,EST,2015,1314657,23311847750.9394,17732.266097498738
Eswatini,SWZ,2015,1133936,3909281650.36128,3447.53288577246
Ethiopia,ETH,2015,102471895,64589328550.5953,630.3126193830542
Faroe Islands,FRO,2015,48816,2573905971.05459,52726.68737820777
Fiji,FJI,2015,917200,4682479893.97558,5105.18959221062
Finland,FIN,2015,5479461,233210733506.25,42560.889384238704
France,FRA,2015,63809769,2442483452642.5,38277.57866734324
French Polynesia,PYF,2015,291787,5325846361.81186,18252.514203209397
Gabon,GAB,2015,2028517,14383107762.6952,7090.454633949432
Georgia,GEO,2015,3771132,15223796148.8396,4036.9300647231653
Germany,DEU,2015,82073226,3423568450957.03,41713.584536777314
Ghana,GHA,2015,28870939,49436806230.4839,1712.3380098750479
Gibraltar,GIB,2015,32520,,
Greece,GRC,2015,10806641,194567373678.099,18004.426507561322
Greenland,GRL,2015,55895,2499113022.81675,44710.85111041686
Grenada,GRD,2015,118980,997007407.407407,8379.621847431561
Guam,GUM,2015,167978,5799000000.0,34522.377930443276
Guatemala,GTM,2015,16001107,62186064757.9334,3886.36015982728
