country,year,population,GDP
Sweden,2010,9381729,492753255885.718
Switzerland,2010,7822435,598851027947.721
Tajikistan,2010,7621779,5642221099.17704
Tanzania,2010,45110527,32012892919.37
Thailand,2010,68270489,341104766329.17
Timor-Leste,2010,1088486,881909300.0
Togo,2010,6571855,4746389531.6959
Tonga,2010,107383,366887374.989696
Trinidad and Tobago,2010,1410296,22157920592.3669
Tunisia,2010,10895063,46206091937.9628
Turkmenistan,2010,5267970,22583157894.7368
Turks and Caicos Islands,2010,29726,686788000.0
Tuvalu,2010,10550,32105408.4771121
Uganda,2010,32341728,26673441430.7857
Ukraine,2010,45683020,141209170427.233
United Arab Emirates,2010,8481771,300189052688.904
United Kingdom,2010,62760039,2485482596184.71
United States,2010,311182845,15048971000000.0
Uruguay,2010,3352651,41950361211.9581
Uzbekistan,2010,28614227,49765676402.4495
Vanuatu,2010,245453,670712979.682038
Zambia,2010,13792086,20265559483.8548
Zimbabwe,2010,12839771,12041602761.7901
Afghanistan,2015,33753499,19134221644.7325
Albania,2015,2882481,11470171826.9575
Algeria,2015,39543154,187493855609.345
American Samoa,2015,51368,673000000.0
Andorra,2015,71746,2789881258.50362
Angola,2015,28127721,90496420506.5957
Antigua and Barbuda,2015,89941,1437485185.18519
Argentina,2015,43257065,594749285413.212
Armenia,2015,2878595,10553337518.414
Aruba,2015,104257,2962907262.56983
Australia,2015,23820236,1351296372254.31
Austria,2015,8642421,379546097300.633
Azerbaijan,2015,9863480,53076235354.746
Bahrain,2015,1362142,32523297872.3404
Bangladesh,2015,157830000,195146608978.131
Barbados,2015,278083,5288057750.0
Belarus,2015,9700609,56454769844.7632
Belgium,2015,11248303,461044767544.531
Belize,2015,359871,2193050000.0
Benin,2015,10932783,11388160996.7738
Bermuda,2015,63144,6654541000.0
Bhutan,2015,743274,2187815803.36833
Bolivia,2015,11090085,33000198248.9146
Bosnia and Herzegovina,2015,3524324,16404348871.4437
Botswana,2015,2305171,13530748844.505
Brazil,2015,205188205,1802212206814.5
British Virgin Islands,2015,29366,
Bulgaria,2015,7309253,50765918159.1476
Burkina Faso,2015,18718019,11832159315.6298
Burundi,2015,10727148,3104003546.26497
Cambodia,2015,15417523,24174170369.0738
Cameroon,2015,23012646,32210233020.4569
Canada,2015,35732126,1556508816217.14
Cayman Islands,2015,60911,4708167232.66893
Central African Republic,2015,4819333,1695825714.19282
Chad,2015,14140274,14559599499.5011
Chile,2015,17870124,242450355830.884
China,2015,1393715448,11280814787468.9
Colombia,2015,47119728,293492370193.166
Comoros,2015,730216,966029599.801228
Costa Rica,2015,4895242,56441920820.5538
Croatia,2015,4254815,51005200669.6941
Cuba,2015,11339894,87132800000.0
Curacao,2015,169572,3058779217.87709
Cyprus,2015,1187280,19909278416.8575
Denmark,2015,5677796,301758922337.637
Djibouti,2015,1006259,2424391785.43897
Dominica,2015,70007,583177777.777778
Dominican Republic,2015,10405832,70966782572.4386
Ecuador,2015,16195902,97209558000.0
El Salvador,2015,6231066,23438240000.0
Equatorial Guinea,2015,1346973,13185496881.0174
Eritrea,2015,3340006,
Estonia,2015,1314657,23311847750.9394
Eswatini,2015,1133936,3909281650.36128
Ethiopia,2015,102471895,64589328550.5953
Faroe Islands,2015,48816,2573905971.05459
Fiji,2015,917200,4682479893.97558
Finland,2015,5479461,233210733506.25
France,2015,63809769,2442483452642.5
French Polynesia,2015,291787,5325846361.81186
Gabon,2015,2028517,14383107762.6952
Georgia,2015,3771132,15223796148.8396
Germany,2015,82073226,3423568450957.03
Ghana,2015,28870939,49436806230.4839
Gibraltar,2015,32520,
Greece,2015,10806641,194567373678.099
Greenland,2015,55895,2499113022.81675
Grenada,2015,118980,997007407.407407
Guam,2015,167978,5799000000.0
Guatemala,2015,16001107,62186064757.9334
Guinea,2015,11625998,8794201742.84609
Guinea-Bissau,2015,1788919,1152384166.79638
Guyana,2015,755031,4279840193.7046
Haiti,2015,10563757,14849629308.6025
Honduras,2015,9294505,20979791685.416
Hungary,2015,9844246,125244126623.289
Iceland,2015,331060,17517210519.0912
India,2015,1322866505,2103588360044.94
Indonesia,2015,259091970,860854232686.214
Iraq,2015,37757813,166774104959.102
Ireland,2015,4665760,302391428540.035
Isle of Man,2015,83593,7084800892.22284
Israel,2015,8007778,303469434072.296
Italy,2015,60232906,1845428048839.1
Jamaica,2015,2794445,14188936918.0036
Japan,2015,127250933,4444930651964.18
Jordan,2015,9494246,38587017887.3239
Kazakhstan,2015,17835909,184388404706.042
Kenya,2015,46851488,70120446896.8359
Kiribati,2015,116707,191559398.688293
Kuwait,2015,3908743,114585555830.916
Latvia,2015,1991955,26344565876.8902
Lebanon,2015,6398940,49929337836.8159
Lesotho,2015,2118521,2359686724.53829
Liberia,2015,4612329,3227075700.0
Libya,2015,6192235,48717501321.3052
Liechtenstein,2015,37355,6268515276.17441
Lithuania,2015,2963765,41540954817.2039
Luxembourg,2015,569408,60071584216.1375
Madagascar,2015,24850912,11323020701.3017
Malawi,2015,16938942,9219474379.31534
Malaysia,2015,31068833,301355266964.947
Maldives,2015,435582,4129505319.12921
Mali,2015,18112907,15583181170.4105
Malta,2015,456579,11340795032.9304
Marshall Islands,2015,49410,183700000.0
Mauritania,2015,3946220,6166863896.68677
Mauritius,2015,1293153,12007291045.6489
Mexico,2015,120149897,1213294467779.98
Moldova,2015,3277388,7797667196.73087
Monaco,2015,36760,6264756528.37691
Mongolia,2015,2964749,11619892590.6941
Montenegro,2015,633966,4054730077.57718
Morocco,2015,34680458,110413823841.592
Mozambique,2015,26843246,16208985769.615
Myanmar,2015,51483949,59607290407.6191
Namibia,2015,2282704,11335161083.5061
Nauru,2015,11185,84383388.6448573
Nepal,2015,27610325,24360801286.7638
Netherlands,2015,17041107,775743675302.734
New Caledonia,2015,283032,8738203074.3957
New Zealand,2015,4590590,178224167087.99
Nicaragua,2015,6298598,12756696261.0676
Niger,2015,20128124,9683867926.44282
Nigeria,2015,183995785,493026682800.63
North Macedonia,2015,2107962,10064519962.5655
Northern Mariana Islands,2015,51514,910000000.0
Norway,2015,5190356,388159512245.53
Oman,2015,4191776,78710793237.9714
Pakistan,2015,210969298,299963590534.773
Palau,2015,17794,278824800.0
Panama,2015,3957099,55767806100.0
Papua New Guinea,2015,8682174,21723437010.0982
Paraguay,2015,6177950,36211447840.0971
Peru,2015,30711863,189802976285.619
Philippines,2015,103031365,306445871242.322
Poland,2015,38553146,480054118583.367
Portugal,2015,10365435,199038523119.639
Qatar,2015,2414573,161739955576.923
Romania,2015,19906079,177885131240.315
Rwanda,2015,11642959,8543760205.73641
Samoa,2015,203571,824150498.653536
San Marino,2015,33570,1419401070.56043
Sao Tome and Principe,2015,201124,259999643.047388
Saudi Arabia,2015,32749848,693414400000.0
Senegal,2015,14356181,17774766696.1759
Serbia,2015,7519496,41297410634.9586
Seychelles,2015,99240,1432403352.12944
Sierra Leone,2015,7314773,6788352974.78329
Singapore,2015,5650018,307998545269.398
Slovenia,2015,2080862,42709468274.8137
Solomon Islands,2015,612660,1307909887.55212
Somalia,2015,13763906,6152149099.99942
South Africa,2015,55876504,346709790458.563
South Sudan,2015,11194299,11997800760.2242
Spain,2015,46431342,1206164777553.12
Sri Lanka,2015,21336697,85090301052.0465
Sudan,2015,38171178,51726758676.7677
Suriname,2015,575475,5126237646.22072
Sweden,2015,9849349,501698263620.663
Switzerland,2015,8281732,694118186379.628
Tajikistan,2015,8524063,8271431485.07484
Tanzania,2015,52542823,47413919817.124
Thailand,2015,70294397,401296238228.084
Timor-Leste,2015,1205813,1590282400.0
Togo,2015,7473229,5755461035.38026
Tonga,2015,106122,437525538.903019
Trinidad and Tobago,2015,1460177,26841143094.6765
Tunisia,2015,11557779,45779494041.9295
Turkmenistan,2015,5766431,35799714285.7143
Turks and Caicos Islands,2015,36538,942070000.0
Tuvalu,2015,10877,36811936.0824587
Uganda,2015,37477356,32387183730.1002
Ukraine,2015,44982564,91030967789.0717
United Arab Emirates,2015,8916899,370275469571.137
United Kingdom,2015,65224364,2927911140916.73
United States,2015,324607776,18295019000000.0
Uruguay,2015,3402818,57680327998.6689
Uzbekistan,2015,30949417,86196264755.3105
Vanuatu,2015,276438,759690180.951654
Zambia,2015,16248230,21251216798.7762
Zimbabwe,2015,14154937,19963058858.4528
